Age,Qualifications,Tasks_completed,Due_tasks,Awards,Experience,AttendancePercentage,promoted
46,BBA,8,12,10,19,68.91,0
22,BBA,25,6,0,13,97.47,0
30,B.Tech,56,0,2,1,95.35,1
56,BSC,45,9,5,13,70.79,1
27,MBA,6,13,0,29,67.23,0
40,BBA,67,1,0,26,64.47,1
23,MBA,41,18,2,7,57.66,0
39,M.Tech,28,0,2,29,97.98,1
62,MBA,84,11,2,29,54.47,1
34,MBA,36,14,12,6,71.93,0
53,MSC,61,12,8,19,84.39,1
37,B.Tech,26,19,5,24,56.55,0
31,MBA,48,7,10,19,52.79,0
41,PhD,72,5,1,16,81.1,1
38,BSC,15,11,11,2,99.38,0
29,B.Tech,57,6,7,12,70.26,0
38,M.Tech,72,10,1,6,76.3,1
56,MBA,86,8,7,25,76.59,1
43,MSC,57,7,3,15,91.31,1
40,PhD,18,6,5,4,53.91,0
25,BSC,40,14,4,9,59.34,0
58,MBA,51,17,10,7,59.27,0
49,PhD,70,0,8,20,86.85,1
57,PhD,89,13,9,12,70.76,1
57,M.Tech,54,11,13,12,58.98,0
61,PhD,65,11,11,2,70.95,0
40,M.Tech,63,13,6,14,50.51,0
37,BSC,6,12,0,12,53.37,0
40,MBA,77,4,2,24,93.6,1
39,B.Tech,51,6,7,16,77.51,1
25,MSC,81,13,0,24,98.39,1
44,BBA,59,8,10,10,73.95,0
51,M.Tech,49,7,4,5,78.25,0
22,MSC,87,16,8,22,83,1
21,MBA,20,11,0,19,76.95,0
63,MSC,63,3,1,23,97.08,1
44,BBA,77,6,7,16,95.79,1
23,BBA,26,9,5,24,84.76,1
40,M.Tech,72,18,3,3,81.92,0
33,MBA,8,18,14,13,60.17,0
52,MBA,9,13,13,19,70.01,0
39,M.Tech,48,3,0,13,87.49,1
51,BBA,34,14,6,5,86.19,1
26,PhD,12,6,9,28,97.23,1
34,MBA,21,4,5,1,54.06,0
25,MSC,88,5,6,27,73.61,1
53,BSC,26,6,0,4,67.28,0
55,BBA,97,16,13,8,79.29,1
31,B.Tech,30,15,8,20,85.45,1
53,MSC,94,12,4,12,96.52,1
23,BBA,94,8,1,25,60.2,1
49,MSC,67,8,9,7,79.42,1
26,MSC,81,2,8,10,71.31,1
47,M.Tech,84,5,6,15,57.41,1
60,BSC,58,13,2,26,69.67,1
54,PhD,73,17,9,1,55.06,0
63,BSC,60,7,1,26,82.58,1
23,MBA,52,4,9,22,55.69,1
59,MSC,20,14,1,13,77.18,0
59,B.Tech,77,1,14,28,73.36,1
36,BSC,84,16,3,9,51.84,1
39,BBA,76,8,14,7,79.78,1
61,BBA,9,10,11,29,67.59,0
34,MBA,18,15,4,8,89.8,0
45,MSC,96,0,14,22,94.01,1
55,M.Tech,66,2,4,27,57.44,1
28,B.Tech,48,3,5,18,92.2,1
46,BSC,76,19,8,13,65.86,1
31,M.Tech,15,14,14,20,88.96,1
45,PhD,89,19,6,24,94.35,1
38,B.Tech,45,14,13,14,62.88,0
27,PhD,21,1,8,2,95.39,0
35,BBA,57,8,6,9,94.29,1
34,BBA,66,8,11,23,87.41,1
45,M.Tech,39,7,4,9,95.52,0
57,M.Tech,96,4,1,5,83.87,1
49,BBA,17,15,9,17,75.81,0
58,M.Tech,42,18,14,9,70.03,0
38,MSC,61,8,4,17,90.63,1
22,M.Tech,50,15,9,3,91.57,1
59,BSC,47,3,5,3,70.55,0
49,M.Tech,15,15,10,23,50.91,0
52,MBA,39,11,5,25,58.56,0
43,B.Tech,5,12,14,28,64.12,0
33,M.Tech,98,14,12,10,61.27,1
40,PhD,2,8,3,29,99.8,1
58,BSC,29,2,12,29,60.67,0
63,PhD,21,0,5,14,56.57,0
44,BSC,63,19,7,4,93.65,1
62,M.Tech,28,5,13,12,72.23,0
54,M.Tech,16,5,12,14,63.24,0
45,MBA,44,2,9,7,65.25,0
57,BBA,22,15,10,5,61.71,0
38,B.Tech,24,4,13,19,51.77,0
50,MSC,27,0,0,21,60.12,0
54,PhD,11,6,13,9,68.15,0
35,MSC,70,16,14,28,57.61,1
52,MBA,58,17,8,6,89.06,0
63,B.Tech,62,1,9,15,54.94,0
53,PhD,81,9,3,29,88.59,1
38,BBA,27,5,12,12,61.22,0
40,M.Tech,70,8,11,22,61.4,1
53,B.Tech,15,12,11,21,85.72,0
25,PhD,47,17,12,13,79.64,0
33,MBA,40,5,8,15,81,0
50,BSC,50,16,13,17,85.74,1
61,MSC,37,2,2,24,63.45,1
49,MSC,52,12,4,21,97.53,1
24,MSC,50,2,0,14,72.75,0
25,M.Tech,79,6,7,7,82.86,1
62,M.Tech,35,18,4,3,73.05,0
53,BBA,41,9,0,23,82.13,1
35,PhD,54,4,0,21,91.12,1
34,PhD,65,7,7,17,72.86,1
56,B.Tech,46,19,10,11,87.84,1
55,M.Tech,61,1,13,4,53.17,0
27,M.Tech,42,2,11,4,96.78,1
41,MSC,45,10,13,19,83.76,0
61,MBA,17,3,1,4,69.8,0
31,PhD,85,19,0,26,83.77,1
47,PhD,61,10,10,24,51.57,1
42,B.Tech,57,5,10,13,92.74,1
34,MSC,85,3,4,20,67.27,1
22,MBA,57,4,8,21,98.29,1
49,BBA,84,13,13,14,86.86,1
28,MSC,85,18,5,4,72.26,1
50,MBA,41,5,8,11,51.36,0
29,MBA,53,7,6,14,55.98,0
49,MSC,6,2,14,1,79.54,0
34,MSC,36,7,1,25,70.9,0
55,BBA,67,6,1,5,62.58,1
34,B.Tech,63,12,13,29,95.79,1
31,PhD,78,10,1,7,62.29,0
30,MSC,24,4,7,17,51.98,0
22,BBA,93,12,11,26,95.04,1
22,PhD,47,6,12,19,96.79,1
42,MSC,42,15,7,12,71.92,1
29,M.Tech,35,19,11,10,57.65,0
48,BBA,98,0,14,13,82.64,1
27,MBA,23,2,1,20,77.52,1
55,B.Tech,55,5,10,27,84.3,1
36,B.Tech,75,15,6,13,66.91,1
63,BSC,66,19,5,18,69.76,1
61,MBA,22,10,14,13,97.13,1
59,M.Tech,58,12,5,22,80.29,1
30,MSC,27,3,11,4,99.32,0
31,MBA,20,12,9,28,97.45,1
64,BSC,30,14,13,6,99.85,1
58,M.Tech,71,4,0,22,84.82,1
43,BBA,15,17,8,20,67.1,0
63,B.Tech,61,10,5,28,58.51,0
48,MSC,84,2,10,29,84.29,1
39,BSC,30,13,6,22,91.1,0
21,PhD,93,17,8,21,60.34,1
32,MSC,81,8,0,9,75.5,1
43,M.Tech,16,5,3,2,80.85,0
21,BSC,17,16,11,13,61.43,0
57,MBA,43,17,6,14,71.69,0
64,BSC,9,5,11,4,81.96,0
63,MBA,87,14,0,25,61.82,1
27,M.Tech,84,19,14,2,90.19,1
26,MBA,36,19,4,11,80.92,0
61,MBA,70,3,9,24,95.51,1
37,MBA,69,9,5,7,70.54,1
33,PhD,9,6,12,14,70.26,0
28,MBA,28,11,9,6,71.92,0
26,BBA,19,7,1,11,67.39,0
23,BBA,92,11,2,14,67.03,1
46,PhD,49,0,8,18,51.81,0
54,B.Tech,70,6,6,8,85.44,1
51,BBA,80,2,5,11,89.64,1
22,MBA,26,2,10,23,84.28,1
58,B.Tech,28,2,0,28,59.2,1
54,M.Tech,11,15,6,28,67.82,0
35,PhD,25,16,4,15,56.02,0
32,BBA,5,13,4,19,99.91,0
41,BBA,79,11,11,26,80.33,1
31,B.Tech,25,5,13,8,73.6,0
26,M.Tech,97,15,14,27,58.44,1
59,BBA,74,19,2,25,98.01,1
22,MSC,62,18,8,6,77.36,0
27,BSC,61,3,9,21,68.48,1
27,MBA,37,0,3,28,80.33,0
41,M.Tech,95,5,0,15,51.8,1
23,MBA,85,12,3,18,64.3,1
40,BSC,35,5,4,28,84.07,1
63,MSC,74,12,2,17,50.04,1
32,BSC,86,2,3,3,70.46,1
45,MSC,24,19,3,26,92.85,1
50,PhD,86,16,0,29,74.17,1
28,PhD,39,4,3,12,63.09,0
56,BBA,6,6,2,1,98.93,0
22,PhD,83,9,5,2,87.47,1
51,BSC,91,18,11,13,82.97,1
44,B.Tech,92,10,4,14,96.92,1
60,B.Tech,77,1,0,10,75.54,1
61,MBA,9,14,7,14,58.81,0
60,M.Tech,87,10,8,27,74.11,1
57,MSC,96,15,12,24,83.46,1
57,M.Tech,21,11,8,29,98.12,1
41,B.Tech,75,13,1,21,79.23,1
60,BSC,98,7,13,17,72.83,1
30,B.Tech,33,4,6,19,87.4,0
27,B.Tech,79,5,12,7,50.69,0
49,B.Tech,17,18,14,23,54.61,0
39,BSC,41,1,10,20,90.26,1
33,PhD,86,19,14,11,58.33,1
64,MSC,61,14,10,2,73.77,1
58,M.Tech,54,8,0,26,50.72,0
58,MBA,6,11,8,3,96.08,0
46,MSC,88,10,2,14,52.73,1
41,MSC,98,19,3,19,94.58,1
37,B.Tech,91,3,10,7,80.12,1
61,MBA,3,9,14,11,73.79,0
38,BBA,91,10,1,9,74.21,1
24,BSC,86,5,5,1,59.18,1
44,M.Tech,43,10,9,18,75.72,0
37,B.Tech,86,1,3,5,58.83,1
51,B.Tech,50,18,0,13,89.13,1
59,B.Tech,84,12,13,1,60.28,0
52,B.Tech,64,12,3,28,50.6,1
61,PhD,90,10,14,25,84.36,1
28,M.Tech,39,2,11,11,80.23,0
33,MSC,74,5,13,17,55.61,0
36,BSC,92,8,0,15,78.85,1
53,PhD,64,8,12,26,72.07,1
64,MSC,3,16,1,4,77,0
38,B.Tech,44,11,12,23,84.34,1
31,BSC,14,7,13,9,67.27,0
23,MBA,32,6,9,29,55.51,1
56,M.Tech,97,9,12,27,99.58,1
21,MSC,56,5,9,4,55.62,0
42,MBA,1,12,1,23,75.13,0
41,B.Tech,9,6,14,2,70.42,0
24,BBA,99,1,12,12,99.73,1
59,MSC,38,12,13,19,88.05,1
40,BBA,25,7,14,24,52.43,0
28,MSC,92,9,0,25,90.05,1
37,B.Tech,18,15,8,29,65.41,0
61,M.Tech,73,19,2,28,59.2,1
53,M.Tech,92,6,0,12,88.31,1
25,BBA,91,5,9,11,83.53,1
23,BSC,53,0,3,10,94.88,1
54,BSC,65,0,2,15,96.98,1
32,MSC,68,16,11,4,54.49,0
26,PhD,93,10,12,21,84.07,1
51,MBA,42,16,11,27,56.97,0
33,MSC,47,11,9,7,80.6,0
33,PhD,98,19,0,11,67.29,1
57,PhD,9,18,4,24,72.93,0
29,PhD,18,1,6,14,81.25,1
33,PhD,81,1,6,23,71.17,1
29,MBA,10,10,1,25,50.04,0
48,B.Tech,99,16,10,13,96.45,1
50,B.Tech,59,7,8,28,73.41,1
61,M.Tech,54,6,5,9,77.25,1
41,MBA,67,8,4,29,87.38,1
23,MSC,46,14,13,10,98.26,1
64,BSC,36,0,5,26,67.74,0
45,PhD,75,3,10,2,62.47,0
48,M.Tech,68,19,4,29,90.78,1
46,PhD,30,11,11,22,97.41,1
42,MBA,97,6,1,10,74.96,1
43,BSC,65,5,0,29,88.13,1
30,BSC,44,9,8,4,63.79,0
54,MSC,42,1,1,12,96.56,1
48,PhD,20,3,9,18,95.86,0
63,BBA,43,6,10,22,94.21,1
39,MSC,74,4,2,4,76.29,0
29,MSC,30,9,3,6,57.7,0
53,MSC,33,5,9,5,97.81,1
25,BBA,64,3,12,1,50.81,0
58,BBA,86,13,11,17,56.31,1
25,PhD,80,4,3,26,52.13,1
46,MBA,73,3,7,20,91.51,1
28,M.Tech,63,18,1,11,98.34,1
39,PhD,36,11,13,20,72.96,1
42,MSC,74,13,12,4,55.26,0
56,MSC,57,12,0,6,85.82,0
62,B.Tech,62,13,4,23,58.28,1
42,B.Tech,46,7,6,24,82.85,1
61,PhD,23,17,1,19,78.64,1
26,BSC,64,13,12,29,55.62,1
25,M.Tech,7,17,2,12,55.11,0
45,M.Tech,26,0,4,14,61.44,0
60,MBA,80,8,9,14,89.63,1
43,M.Tech,73,8,4,14,52.64,1
61,M.Tech,85,15,6,3,53.71,0
35,B.Tech,6,13,5,14,88.36,0
28,MBA,62,14,13,28,51.16,1
60,MBA,91,1,0,13,91.55,1
23,M.Tech,21,2,8,26,86.06,0
34,PhD,73,6,8,5,66.89,1
42,BBA,12,19,3,19,83.08,0
25,BSC,78,6,6,23,74.53,1
34,BBA,5,17,11,4,75.43,0
52,M.Tech,44,4,7,14,78.97,1
52,B.Tech,48,1,9,1,51.71,0
58,PhD,98,2,7,24,77.3,1
40,M.Tech,80,16,12,4,53.85,1
64,M.Tech,7,18,5,23,97.98,1
62,BBA,90,3,9,3,52,1
45,PhD,73,14,13,21,82.82,1
32,M.Tech,91,14,12,4,82.42,1
46,MBA,20,10,10,12,89.55,0
23,MBA,71,18,6,6,60.79,1
40,BSC,41,17,2,24,50.12,0
33,MBA,12,6,13,11,69.58,0
43,BSC,30,11,14,23,96.91,1
59,PhD,41,11,8,8,99.36,1
48,BSC,89,11,12,17,74.35,1
61,BSC,32,2,9,29,84.86,1
22,MSC,54,5,10,29,84.48,1
50,M.Tech,26,15,8,9,78.2,0
52,PhD,80,9,9,7,78.25,1
21,BSC,82,7,5,2,59.1,1
64,B.Tech,75,5,13,15,92.72,1
34,B.Tech,19,17,7,11,95.65,0
58,BBA,76,3,13,16,52.4,1
31,BSC,22,0,0,10,79.33,0
25,M.Tech,3,19,11,10,63.31,0
37,MBA,37,14,14,15,72.26,1
29,BBA,82,19,3,2,78.98,1
53,B.Tech,56,9,0,1,79.7,0
39,BSC,46,12,2,16,56.73,0
37,B.Tech,70,11,12,19,71.53,1
57,B.Tech,16,17,1,1,50.65,0
24,BBA,12,5,4,22,64.57,0
26,M.Tech,97,1,13,28,71.29,1
32,BSC,54,17,7,25,90.47,1
60,MBA,93,4,10,9,94.7,1
22,PhD,8,14,7,12,92.42,0
55,PhD,98,19,6,23,60.73,1
53,B.Tech,76,1,6,3,55.13,0
61,PhD,64,19,9,22,66.23,1
27,MSC,25,10,7,11,82.42,0
40,BBA,60,7,10,20,54.91,1
61,M.Tech,66,3,1,19,57.39,1
34,B.Tech,44,17,0,21,65.84,0
41,MSC,27,12,3,1,95.64,0
53,PhD,80,2,7,28,88.49,1
42,MSC,54,3,6,15,59.98,0
34,MBA,36,11,6,25,59.75,0
26,PhD,40,18,0,2,72.4,0
31,B.Tech,93,17,10,29,99.7,1
46,MSC,71,17,0,11,97.02,1
22,B.Tech,39,7,8,18,97.45,1
63,BBA,69,3,0,26,88.34,1
26,PhD,5,11,5,9,54.06,0
44,B.Tech,3,19,14,26,87.55,1
60,MBA,14,7,12,20,87.89,1
32,BSC,56,7,13,28,96.36,1
56,MBA,12,9,11,23,96.08,0
34,M.Tech,46,19,6,5,99.57,1
43,B.Tech,70,2,11,9,86.09,1
50,M.Tech,72,8,4,10,63.09,1
47,BSC,76,6,11,28,69.89,1
61,B.Tech,42,14,9,13,51.08,0
40,PhD,42,10,1,22,59.07,1
25,MBA,53,6,9,1,79.42,0
41,MSC,9,12,7,11,62.48,0
23,BBA,73,12,5,26,59,1
35,B.Tech,94,8,12,20,64.41,1
62,B.Tech,77,6,5,23,56.79,1
36,BSC,54,15,9,9,88.39,1
31,BSC,2,16,2,4,55.96,0
36,PhD,32,12,2,24,68.61,1
28,MSC,46,10,13,10,81.63,1
55,BBA,12,15,0,28,87.1,0
63,MSC,8,16,11,11,76.92,0
32,B.Tech,2,7,0,24,92.22,0
48,MBA,44,6,0,1,69.83,0
64,M.Tech,80,6,14,29,63.69,1
23,MBA,15,0,4,28,67.74,0
34,MSC,91,13,9,12,66.02,1
28,MSC,95,11,2,11,58.31,1
60,PhD,39,1,5,22,74.76,0
46,MBA,50,1,0,14,93.97,1
40,M.Tech,49,17,5,11,86.74,1
60,MSC,37,18,2,1,61.88,0
30,BSC,55,1,1,1,91.63,1
41,PhD,93,19,6,25,79.85,1
21,BBA,97,7,7,29,72.21,1
41,PhD,14,13,5,23,63.83,0
46,BBA,28,3,8,16,74.15,0
62,M.Tech,98,5,13,27,98.62,1
55,M.Tech,58,7,1,23,72.39,1
29,BSC,1,19,2,29,95.34,0
35,M.Tech,18,2,11,19,84.33,0
60,MBA,26,14,4,19,64.06,0
34,MBA,53,7,13,14,80.79,1
31,BBA,88,2,4,26,91.12,1
28,B.Tech,57,15,1,9,66.32,0
34,MSC,99,14,13,20,99.34,1
44,PhD,16,8,0,1,69.27,0
50,MBA,63,12,2,17,86.81,1
46,MBA,64,19,6,11,89.02,1
51,BBA,42,3,7,22,64.04,1
64,B.Tech,55,4,1,27,63.39,1
57,M.Tech,10,4,13,29,81.51,1
35,MBA,35,13,1,12,82.23,1
27,B.Tech,20,10,13,16,89.98,1
62,PhD,26,3,0,7,67.03,0
27,BBA,64,18,14,28,97.27,1
54,B.Tech,83,9,4,19,88.22,1
46,BSC,81,7,13,1,61.4,1
60,BBA,99,14,2,21,52.12,1
22,MSC,62,14,1,10,90.05,1
57,M.Tech,36,6,6,18,85.52,0
35,MSC,79,5,7,11,58.15,0
60,M.Tech,49,18,7,15,78.95,1
54,BBA,3,16,11,12,91.56,0
42,BBA,1,18,12,20,61.48,0
35,MSC,1,19,4,22,71.4,0
46,BBA,58,18,13,24,78.65,1
45,BBA,75,2,7,19,59.01,1
27,M.Tech,73,6,5,21,56.2,1
28,BSC,91,11,10,3,84.88,1
56,BBA,30,3,4,22,67.9,1
33,MSC,62,3,0,13,53.58,1
29,B.Tech,59,14,12,19,87.53,1
21,BBA,9,8,4,29,84.95,0
63,BSC,90,4,10,4,89.56,1
23,PhD,17,8,9,12,76.07,0
21,BSC,58,1,2,3,68.84,0
27,B.Tech,99,5,1,14,60.62,1
44,BSC,60,0,12,11,90.26,1
21,B.Tech,24,3,0,7,59.83,0
31,M.Tech,56,18,9,19,97.27,1
49,M.Tech,71,5,1,2,58.09,0
46,PhD,31,17,1,27,65.45,0
31,MSC,90,6,9,10,87.99,1
34,BSC,79,4,0,7,67.56,1
59,BBA,47,13,12,24,50.66,1
63,B.Tech,2,8,12,27,93.32,0
41,BSC,40,14,5,17,95.56,1
47,BBA,13,0,4,27,67.3,0
35,MBA,13,10,12,27,62.31,0
49,M.Tech,6,14,7,19,96.75,0
48,MSC,99,0,7,8,74.3,1
43,BSC,44,4,6,26,68.59,1
57,B.Tech,15,7,12,23,86.16,0
48,BSC,7,2,5,13,62.32,0
60,BBA,30,0,1,27,83.03,1
23,B.Tech,66,9,10,17,67.66,0
25,PhD,11,6,6,2,93.34,0
64,M.Tech,90,19,12,26,90.45,1
33,B.Tech,4,16,6,24,95.36,0
57,M.Tech,44,9,8,24,65.43,1
43,PhD,52,15,1,8,72.36,1
53,PhD,18,0,3,14,96.7,0
55,BSC,95,11,0,10,84.26,1
57,BSC,95,11,3,12,87.48,1
23,B.Tech,31,0,12,6,94.24,1
46,MSC,80,5,11,16,73.68,1
33,PhD,68,16,11,15,54.04,0
31,B.Tech,75,8,1,18,70.51,1
39,M.Tech,55,5,7,1,79.47,0
25,BSC,16,1,2,9,70.24,0
61,MSC,80,11,5,15,94.59,1
57,B.Tech,60,0,9,21,98.2,1
28,BBA,6,1,6,8,95.54,0
44,MBA,54,10,5,16,56.99,0
43,MBA,14,6,10,9,77.95,0
59,BSC,13,16,11,14,80.33,0
48,B.Tech,57,9,10,7,71.07,0
24,MSC,53,17,4,25,86.17,1
51,MSC,23,6,2,1,58.05,0
42,BBA,49,11,4,7,71.01,0
56,BBA,41,10,11,10,91.1,1
42,PhD,52,10,1,25,97.13,1
22,M.Tech,36,6,13,2,79.31,0
27,M.Tech,35,5,6,15,87.62,0
40,BSC,17,7,0,19,53.99,0
24,MBA,15,9,4,6,75.23,0
39,BBA,92,11,0,2,89.34,1
55,MSC,13,9,10,14,95.25,0
28,BBA,56,16,3,9,82.4,1
50,B.Tech,39,10,0,19,73.26,0
27,MBA,26,18,0,22,78.8,0
60,MBA,11,9,0,5,91.69,0
37,MSC,18,2,10,6,73.82,0
52,PhD,24,14,5,14,70.53,0
34,MSC,74,4,13,26,94.9,1
44,MSC,16,0,7,29,78.15,0
64,BSC,10,16,2,23,68.03,0
41,B.Tech,7,8,1,25,62.05,0
61,M.Tech,72,18,5,10,53.09,1
50,MSC,6,19,12,8,77.68,0
59,M.Tech,36,6,3,20,81.45,0
63,BSC,43,9,12,24,57.11,0
62,BBA,2,12,7,10,52.76,0
30,PhD,45,11,12,2,79.29,0
54,BSC,21,7,7,10,79.44,0
64,PhD,84,10,13,5,71.93,1
25,PhD,80,17,4,23,75.17,1
52,BSC,46,19,10,17,55.8,0
24,BSC,11,9,7,24,74.64,0
61,B.Tech,5,16,11,29,89.18,1
48,BSC,36,10,7,16,63.08,1
48,MBA,84,17,8,1,78.7,1
50,BSC,37,6,8,20,61.65,1
52,B.Tech,10,2,11,27,58.49,0
58,MSC,30,5,10,12,64.49,0
59,MBA,55,5,6,4,57.68,0
37,BSC,44,11,1,4,53.23,0
36,M.Tech,76,16,0,7,51.68,0
56,MBA,11,11,12,2,90.64,0
41,BBA,91,2,6,21,67.8,1
33,B.Tech,46,17,2,27,50.5,1
22,PhD,96,17,12,20,90.52,1
47,B.Tech,86,12,8,10,64.9,1
28,MSC,98,3,0,3,94.9,1
24,MSC,62,1,2,5,59.07,0
36,BBA,8,2,1,26,74.21,0
54,M.Tech,97,8,1,4,71.4,1
48,MBA,45,0,5,24,64.58,1
40,MSC,19,4,5,17,53.67,0
22,M.Tech,76,19,3,14,76.63,1
48,MBA,39,7,2,29,91.51,1
39,PhD,95,11,4,9,93.91,1
60,B.Tech,81,12,3,19,60.97,1
42,MBA,52,6,7,24,54.63,1
22,PhD,81,8,5,1,62.28,1
38,BSC,32,3,14,9,97.66,0
32,MSC,55,3,14,26,93.29,1
31,MSC,4,11,9,6,51.72,0
34,BSC,75,11,0,11,85.04,1
21,M.Tech,81,13,10,8,84.06,1
31,BSC,62,15,5,8,56.69,0
28,PhD,93,18,7,14,62.42,1
31,MBA,8,9,9,2,57.37,0
22,BBA,27,7,6,14,63.73,0
48,M.Tech,15,12,13,3,76.4,0
49,MBA,85,18,1,2,99.04,1
44,M.Tech,24,9,10,1,85.05,0
34,MBA,14,19,1,7,79.85,0
61,MSC,36,17,9,20,62.06,0
41,BSC,7,11,8,26,81.79,0
39,BSC,42,19,14,18,69.47,0
51,BSC,89,0,14,9,85.99,1
30,MSC,63,5,5,17,87.56,1
37,BBA,32,6,7,19,97.09,1
31,M.Tech,41,14,4,1,62.21,0
58,B.Tech,63,3,2,23,92.2,1
62,B.Tech,50,12,5,17,50.13,0
57,B.Tech,74,15,5,1,60.18,0
41,MBA,1,8,6,8,56.32,0
28,M.Tech,18,19,12,24,82.68,0
24,PhD,48,12,12,20,63.15,0
38,BSC,7,7,9,24,54.35,0
60,MSC,50,12,5,16,54.66,1
48,MBA,19,5,9,22,60.37,0
46,MSC,31,19,10,11,97.16,0
37,BBA,66,9,12,27,81.37,1
45,M.Tech,40,17,5,24,83.51,0
25,BBA,27,9,11,11,68.17,0
61,BBA,14,8,4,26,97.5,0
44,PhD,1,8,13,3,91.31,0
23,MBA,93,7,6,12,57.33,1
48,BSC,43,10,6,1,64.72,0
49,BBA,67,4,7,16,99.76,1
24,PhD,13,6,0,6,56.58,0
63,MBA,62,13,5,27,81.18,1
60,MBA,44,3,11,1,76.84,1
61,BBA,57,2,1,15,95.58,1
64,MBA,59,16,12,28,65.53,1
32,B.Tech,34,13,14,12,96.15,1
33,M.Tech,73,1,13,8,64.99,1
37,PhD,57,9,3,1,81.91,1
30,BSC,78,16,4,23,81.05,1
39,PhD,2,10,10,26,97.02,0
53,M.Tech,70,9,10,24,89.55,1
26,MBA,76,11,3,3,66,1
22,M.Tech,88,16,10,26,69.6,1
59,MSC,18,5,8,10,76.75,0
31,BBA,91,10,8,9,70.85,1
44,BBA,23,13,6,12,82.72,0
58,MBA,30,16,13,19,65.97,0
44,MBA,5,12,14,7,62.51,0
30,B.Tech,93,7,2,16,97.42,1
32,MSC,99,17,10,2,67.58,1
23,MBA,91,5,14,13,96.29,1
58,MBA,73,14,2,22,56.7,1
43,BSC,44,2,14,18,86.27,1
26,M.Tech,65,16,5,23,94.27,1
58,BBA,30,5,6,21,89.63,1
63,BBA,51,12,9,9,64.64,0
21,M.Tech,89,16,10,21,71.23,1
39,BSC,86,15,9,27,96.76,1
62,BSC,23,1,9,22,51.18,0
40,MSC,43,1,4,10,80.38,0
59,M.Tech,82,11,3,3,92.87,1
53,B.Tech,84,4,12,19,52.63,1
29,M.Tech,12,11,8,2,97.55,0
57,MBA,42,15,13,19,58.97,0
32,BBA,6,13,14,5,70.88,0
27,BSC,6,11,14,12,64.18,0
54,B.Tech,13,1,13,28,87.72,1
28,MBA,57,10,12,10,68.18,0
57,BSC,7,0,11,17,81.37,0
33,MSC,45,7,11,26,57.04,0
51,B.Tech,96,18,14,13,97.23,1
52,MBA,32,18,1,18,53.53,0
55,B.Tech,3,6,11,19,98.65,0
31,M.Tech,91,0,13,5,91,1
39,BSC,97,19,4,8,75.22,1
50,MSC,68,0,8,12,63.28,1
28,MBA,82,11,0,13,69.31,1
37,MBA,41,11,12,11,82.55,0
37,PhD,25,15,3,3,89.86,0
48,PhD,24,6,1,28,69.69,0
64,BBA,54,17,7,25,58.38,1
53,MBA,41,19,14,25,60.19,0
50,BSC,97,5,1,15,68.49,1
56,M.Tech,20,6,3,5,77.1,0
25,MBA,36,8,10,23,67.05,1
21,B.Tech,59,2,11,29,97.61,1
48,BSC,26,2,10,15,80.63,1
60,B.Tech,68,19,14,1,61.05,0
35,PhD,93,13,13,16,58.63,1
38,B.Tech,8,12,8,3,55.54,0
62,BBA,92,17,6,18,70.43,1
51,B.Tech,49,13,9,21,93.05,1
29,MBA,35,9,3,27,71.16,0
47,BBA,15,17,5,17,97.76,1
38,B.Tech,56,13,5,14,66.8,0
38,MSC,66,14,10,13,81.48,1
53,BBA,20,11,0,23,53.71,0
29,B.Tech,93,18,13,12,88.6,1
32,BSC,2,10,5,25,91.06,0
25,BSC,69,12,6,15,63.19,1
25,PhD,47,16,2,18,67.14,0
47,PhD,58,18,10,4,78.38,0
49,B.Tech,92,13,13,18,57.82,1
56,MSC,43,2,4,16,55.56,1
48,M.Tech,77,8,13,23,73.99,1
44,M.Tech,60,11,5,27,54.87,1
23,B.Tech,9,4,12,14,77.47,0
23,M.Tech,77,11,9,20,86.44,1
43,MSC,97,18,10,1,80.44,1
29,PhD,38,15,13,18,99.33,1
38,M.Tech,38,13,13,11,72.51,0
46,MSC,10,17,8,16,77.37,0
50,M.Tech,67,6,6,21,88.36,1
52,BBA,17,0,2,16,62.23,0
51,PhD,10,5,2,4,99.43,0
59,B.Tech,18,0,10,11,66.42,0
60,BBA,3,18,2,21,54.53,0
34,PhD,65,15,0,17,53.1,0
39,M.Tech,21,6,4,20,61.93,0
54,MSC,26,11,1,1,66.3,0
59,MSC,74,16,5,3,60.41,0
37,MSC,2,14,0,27,80.32,0
32,BBA,43,6,0,21,71.28,1
41,MSC,77,17,12,22,55.34,0
31,BBA,2,10,10,7,72.83,0
47,MSC,54,0,0,24,51.97,0
35,MBA,55,10,11,28,59.5,1
35,BSC,34,9,9,9,52.27,0
21,BBA,4,16,1,15,89.9,0
52,BSC,69,17,11,20,73.45,1
39,PhD,22,0,2,16,74.38,0
21,BBA,53,16,14,22,59.81,0
43,PhD,21,5,8,22,52.24,0
63,B.Tech,64,12,9,23,88.73,1
25,MBA,29,6,4,14,55.65,0
56,MSC,42,6,6,28,50.02,1
27,MBA,38,6,14,23,72.48,1
29,MBA,15,18,5,11,83.77,0
24,MBA,2,4,4,3,75.08,0
31,MSC,27,16,5,29,61.19,0
36,B.Tech,91,13,10,20,74.21,1
33,MSC,11,0,13,4,95.3,1
52,B.Tech,29,11,11,8,81.96,0
56,PhD,87,5,8,8,95.16,1
52,MBA,77,19,5,12,95.97,1
36,BSC,81,14,5,19,86.67,1
